iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.5917476756	0.5976455811	0.5917476756	0.5099191771
1	0.6595817283	0.5630568937	0.6595817283	0.5374520493
2	0.6626731176	0.5569240026	0.6626731176	0.5427115189
3	0.6629142161	0.5501575929	0.6629142161	0.5475744326
4	0.6631277873	0.5472313254	0.6631277873	0.5454170958
5	0.6656049824	0.5453070649	0.6656049824	0.5499896072
6	0.6744159087	0.5432713457	0.6744159087	0.5549887778
7	0.673362116	0.5420584625	0.673362116	0.5542611895
8	0.6755340598	0.540520929	0.6755340598	0.5605493134
9	0.6753346413	0.5395793518	0.6753346413	0.5610519724
10	0.676931113	0.5390306064	0.676931113	0.56272177
11	0.6772660077	0.5376004401	0.6772660077	0.5635983264
12	0.6815123998	0.5356924746	0.6815123998	0.5676691729
13	0.6895794031	0.5328432543	0.6895794031	0.5709618134
14	0.6918447044	0.5285392309	0.6918447044	0.5716602473
15	0.694220788	0.5272654844	0.694220788	0.5739165654
16	0.6966463795	0.526895845	0.6966463795	0.5749346208
17	0.697580117	0.5260161309	0.697580117	0.5765584023
18	0.6974784802	0.5255255851	0.6974784802	0.5769153022
19	0.6982817128	0.5236162213	0.6982817128	0.5783181358
20	0.6990666383	0.5230261019	0.6990666383	0.5772864322
21	0.6990681298	0.5217153916	0.6990681298	0.5783521809
22	0.7024871829	0.5202355113	0.7024871829	0.5832656377
23	0.70657731	0.5179048626	0.70657731	0.5883071909
24	0.7072533141	0.5159022026	0.7072533141	0.5878775593
25	0.708744879	0.5145504698	0.708744879	0.5905110975
26	0.713079381	0.5115597596	0.713079381	0.5957533687
27	0.7146950803	0.5096051888	0.7146950803	0.5983606557
28	0.7164221076	0.5082005505	0.7164221076	0.598980632
29	0.7200984325	0.5064242558	0.7200984325	0.6022773485
30	0.7225119844	0.5046827498	0.7225119844	0.6055045872
31	0.7222363201	0.5034376204	0.7222363201	0.6050112039
32	0.7229949035	0.5021720225	0.7229949035	0.6063699469
33	0.7225469676	0.5012054741	0.7225469676	0.6052953157
34	0.7265716826	0.4990808675	0.7265716826	0.6089782653
35	0.730887853	0.4970907714	0.730887853	0.6134794965
36	0.7316221754	0.4952642544	0.7316221754	0.6150712831
37	0.7340336477	0.4929985514	0.7340336477	0.6169780666
38	0.7340336477	0.4920039386	0.7340336477	0.6169780666
39	0.7351436773	0.4903182213	0.7351436773	0.6176291793
40	0.7397229029	0.4886623802	0.7397229029	0.6231972375
41	0.73881065	0.4871683908	0.73881065	0.6223577236
42	0.7401442086	0.48630951	0.7401442086	0.6231502129
43	0.7408439218	0.4839234196	0.7408439218	0.6252292643
44	0.7439199684	0.4810517139	0.7439199684	0.6275624112
45	0.7466649648	0.4783805197	0.7466649648	0.6306598985
46	0.752936676	0.4763070309	0.752936676	0.6380467955
47	0.7556537364	0.4736743567	0.7556537364	0.6400486421
48	0.755341661	0.4721614865	0.755341661	0.6400162338
49	0.7550579511	0.4714931356	0.7550579511	0.6394971614
50	0.7612932489	0.4688596748	0.7612932489	0.6468915075
51	0.7643649272	0.4670887483	0.7643649272	0.6506612411
52	0.7645168762	0.4664420461	0.7645168762	0.6506710045
53	0.7651867907	0.4651087258	0.7651867907	0.6510966694
54	0.7687012831	0.4634681401	0.7687012831	0.6548924076
55	0.7705787087	0.462005558	0.7705787087	0.6581039755
56	0.7707278235	0.4616599576	0.7707278235	0.6581092095
