iter	Passed	Remaining
0	12	12561
1	22	11396
2	32	10868
3	51	13092
4	59	11968
5	65	10964
6	71	10294
7	77	9778
8	84	9367
9	89	8983
10	93	8479
11	101	8459
12	116	8957
13	129	9237
14	134	8959
15	140	8757
16	146	8591
17	152	8434
18	159	8332
19	166	8239
20	172	8123
21	179	8096
22	185	7990
23	192	7904
24	197	7802
25	203	7704
26	210	7690
27	216	7607
28	221	7516
29	227	7453
30	233	7395
31	239	7329
32	245	7273
33	250	7205
34	256	7158
35	262	7112
36	268	7063
37	274	7024
38	279	6983
39	285	6947
40	291	6914
41	297	6879
42	303	6843
43	310	6821
44	316	6792
45	322	6774
46	328	6748
47	334	6722
48	340	6697
49	346	6672
50	352	6645
51	358	6619
52	363	6585
53	369	6560
54	375	6541
55	381	6517
56	386	6480
57	392	6463
58	398	6441
59	404	6420
60	410	6399
61	416	6377
62	421	6353
63	427	6331
64	433	6317
65	441	6330
66	447	6308
67	453	6292
68	459	6280
69	465	6258
70	470	6241
71	476	6226
72	482	6212
73	488	6188
74	494	6177
75	500	6165
76	506	6152
77	512	6139
78	518	6122
79	524	6110
80	530	6094
81	537	6101
82	543	6085
83	549	6069
84	555	6058
85	561	6043
86	566	6027
87	573	6021
88	579	6008
89	584	5992
90	591	5983
91	596	5968
92	602	5958
93	609	5949
94	615	5938
95	621	5928
96	627	5916
97	633	5904
98	639	5895
99	644	5882
100	650	5869
101	656	5855
102	662	5845
103	668	5833
104	674	5824
105	680	5814
106	686	5802
107	692	5793
108	697	5779
109	702	5764
110	708	5752
111	714	5745
112	720	5732
113	726	5723
114	732	5714
115	738	5703
116	744	5695
117	750	5684
118	755	5671
119	761	5661
120	767	5651
121	773	5640
122	778	5629
123	784	5621
124	790	5611
125	797	5610
126	805	5610
127	811	5603
128	818	5604
129	824	5597
130	830	5586
131	837	5583
132	843	5573
133	849	5568
134	856	5564
135	861	5550
136	871	5568
137	877	5557
138	884	5553
139	891	5553
140	897	5546
141	903	5534
142	910	5535
143	918	5539
144	924	5530
145	930	5521
146	937	5519
147	944	5513
148	952	5514
149	959	5512
150	964	5502
151	971	5496
152	977	5487
153	986	5494
154	992	5489
155	1002	5500
156	1013	5519
157	1020	5513
158	1025	5503
159	1034	5507
160	1041	5503
161	1047	5495
162	1053	5488
163	1059	5478
164	1067	5481
165	1074	5473
166	1083	5481
167	1088	5467
168	1094	5461
169	1102	5460
170	1109	5454
171	1115	5449
172	1121	5440
173	1127	5429
174	1133	5420
175	1138	5409
176	1144	5397
177	1150	5389
178	1155	5376
179	1163	5378
180	1169	5368
181	1175	5359
182	1181	5352
183	1187	5343
184	1193	5335
185	1199	5328
186	1206	5321
187	1212	5313
188	1218	5303
189	1223	5294
190	1229	5286
191	1235	5275
192	1240	5265
193	1247	5258
194	1252	5248
195	1258	5241
196	1265	5234
197	1271	5226
198	1277	5219
199	1283	5211
200	1289	5200
201	1295	5193
202	1300	5184
203	1307	5177
204	1312	5168
205	1318	5160
206	1324	5151
207	1330	5143
208	1336	5134
209	1342	5125
210	1347	5113
211	1353	5106
212	1359	5099
213	1364	5089
214	1371	5082
215	1377	5075
216	1383	5067
217	1388	5058
218	1394	5048
219	1400	5040
220	1405	5029
221	1411	5022
222	1416	5013
223	1422	5003
224	1428	4995
225	1433	4986
226	1439	4979
227	1445	4971
228	1451	4962
229	1457	4955
230	1463	4946
231	1469	4939
232	1474	4931
233	1480	4923
234	1486	4915
235	1493	4909
236	1498	4901
237	1504	4893
238	1510	4885
239	1516	4878
240	1522	4871
241	1529	4865
242	1534	4856
243	1540	4849
244	1546	4841
245	1552	4835
246	1558	4826
247	1563	4817
248	1569	4810
249	1575	4802
250	1581	4794
251	1587	4787
252	1593	4779
253	1599	4772
254	1605	4765
255	1611	4757
256	1617	4750
257	1623	4744
258	1629	4736
259	1634	4728
260	1640	4721
261	1646	4714
262	1652	4707
263	1658	4700
264	1664	4692
265	1670	4684
266	1676	4676
267	1682	4669
268	1688	4664
269	1694	4656
270	1700	4650
271	1706	4642
272	1712	4635
273	1718	4628
274	1724	4620
275	1730	4613
276	1735	4606
277	1741	4599
278	1747	4591
279	1753	4584
280	1759	4577
281	1765	4569
282	1771	4562
283	1777	4555
284	1782	4547
285	1788	4541
286	1794	4534
287	1800	4525
288	1805	4517
289	1811	4509
290	1817	4502
291	1825	4500
292	1831	4494
293	1837	4487
294	1843	4480
295	1849	4473
296	1855	4466
297	1861	4459
298	1866	4451
299	1872	4445
300	1878	4437
301	1884	4429
302	1890	4422
303	1899	4423
304	1905	4416
305	1911	4410
306	1917	4403
307	1923	4396
308	1928	4388
309	1934	4381
310	1940	4373
311	1946	4367
312	1952	4359
313	1958	4352
314	1963	4345
315	1970	4339
316	1976	4332
317	1982	4326
318	1988	4320
319	1994	4313
320	2000	4306
321	2006	4300
322	2013	4294
323	2018	4287
324	2024	4279
325	2030	4272
326	2036	4265
327	2041	4258
328	2048	4253
329	2054	4246
330	2060	4239
331	2066	4232
332	2072	4226
333	2078	4220
334	2084	4212
335	2090	4205
336	2096	4199
337	2102	4192
338	2108	4185
339	2114	4178
340	2119	4170
341	2125	4164
342	2131	4157
343	2137	4151
344	2143	4145
345	2149	4138
346	2155	4131
347	2162	4125
348	2167	4118
349	2174	4112
350	2180	4106
351	2187	4102
352	2193	4094
353	2199	4087
354	2205	4080
355	2210	4073
356	2216	4066
357	2222	4060
358	2228	4053
359	2234	4046
360	2240	4040
361	2246	4034
362	2252	4027
363	2258	4020
364	2264	4013
365	2270	4006
366	2276	4000
367	2282	3994
368	2289	3989
369	2295	3983
370	2301	3976
371	2307	3970
372	2313	3963
373	2319	3956
374	2325	3950
375	2331	3944
376	2338	3938
377	2344	3931
378	2350	3925
379	2356	3918
380	2362	3912
381	2368	3905
382	2373	3898
383	2379	3892
384	2385	3884
385	2391	3878
386	2396	3870
387	2402	3863
388	2408	3856
389	2413	3849
390	2419	3842
391	2425	3836
392	2431	3830
393	2437	3823
394	2443	3816
395	2448	3809
396	2455	3803
397	2461	3797
398	2467	3790
399	2473	3784
400	2479	3778
401	2485	3772
402	2492	3765
403	2498	3759
404	2503	3752
405	2509	3746
406	2515	3739
407	2521	3733
408	2527	3726
409	2534	3720
410	2540	3714
411	2545	3707
412	2551	3701
413	2557	3694
414	2563	3687
415	2569	3681
416	2575	3675
417	2582	3669
418	2587	3662
419	2594	3656
420	2600	3650
421	2606	3644
422	2612	3637
423	2618	3630
424	2624	3624
425	2630	3618
426	2636	3612
427	2642	3606
428	2648	3599
429	2654	3593
430	2659	3585
431	2665	3578
432	2671	3572
433	2677	3566
434	2683	3559
435	2689	3553
436	2695	3546
437	2701	3539
438	2706	3533
439	2714	3529
440	2721	3523
441	2727	3517
442	2733	3511
443	2741	3507
444	2753	3507
445	2761	3504
446	2774	3506
447	2788	3510
448	2806	3518
449	2821	3524
450	2834	3526
451	2846	3526
452	2856	3525
